id,value
id_172,14.333808792719694
id_173,28.772440559442614
id_174,27.397670726524893
id_175,33.297928168817123
id_176,50.919604823267662
id_177,45.820764353155973
id_178,42.534007565806704
id_179,40.951456154609666
id_180,36.853117416327585
id_181,29.601706364006638
id_182,30.142201462147064
id_183,36.058268093691296
id_184,78.435496090131679
id_185,81.206193333952271
id_186,82.542839453275334
id_187,60.96772762312505
id_188,44.50543606371982
id_189,28.647899314825196
id_190,19.425691695075869
id_191,13.385677679663258
id_192,44.519552169408506
id_193,59.734506489027382
id_194,59.709045214284039
id_195,51.614895738060298
id_196,47.663916406833231
id_197,44.32680500762909
id_198,51.573728617393677
id_199,58.565853093902135
id_200,12.688993223351568
id_201,12.440553364522998
id_202,6.1162567550120785
id_203,4.43341364279636
id_204,6.0346423230786606
id_205,14.998890655822128
id_206,28.51819480226926
id_207,34.829920118396515
id_208,18.2201601361316
id_209,23.224890782900054
id_210,24.225219643041086
id_211,17.833690726055391
id_212,10.89200698337326
id_213,15.158635571302948
id_214,19.980427818653354
id_215,28.256286522962885
id_216,15.15863557130295
id_217,19.980427818653357
id_218,28.256286522962881
id_219,27.510926918895475
id_220,24.033394017931673
id_221,16.731533641195011
id_222,14.923500233986582
id_223,10.631999431600548
id_224,16.384386410910942
id_225,4.4443755456690521
id_226,14.333808792719694
id_227,28.772440559442614
id_228,27.397670726524893
id_229,33.297928168817123
id_230,29.02283702997385
id_231,32.305035768118131
id_232,16.145789223513912
id_233,12.688993223351568
id_234,12.440553364523
id_235,6.1162567550120785
id_236,4.43341364279636
id_237,6.0346423230786597
id_238,14.998890655822134
id_239,28.51819480226926
